component_id,component_name,type_id,element_id,price,production_id
1,FS7M0880YDTU,1,1,620.00,1
2,FSCQ0765RTYDTU,1,1,220.00,2
3,FSCQ1565RTYDTU,1,1,580.00,1
4,FSDM0265RNB,1,1,220.00,1
5,FSDM0365RNB,1,1,330.00,1
6,ADM660ANZ,1,2,1080.00,3
7,ADM660ARZ-REEL7,1,2,440.00,3
8,ADP1111ARZ,1,2,810.00,3
9,ADP1111ARZ-5,1,2,940.00,3
10,AOZ1073AIL,1,2,90.00,4
11,AD736AQ,1,3,3800.00,3
12,AD736JNZ,1,3,2660.00,3
13,AD536ASH,1,3,57960.00,3
14,AD8436ARQZ,1,3,6230.00,3
15,ADE-5+,1,3,640.00,6
16,AD654JNZ,1,4,860.00,3
17,AD654JRZ-REEL7,1,4,1390.00,3
18,AD7740YRMZ,1,4,1380.00,3
19,AD7741BRZ,1,4,950.00,3
20,LM2907N/NOPB,1,4,370.00,7
21,"74HC4051D,653",1,5,44.00,8
22,"74HC4051PW,118",1,5,25.00,8
23,"74HC4052D,653",1,5,29.00,8
24,"74HC4052PW,112",1,5,34.00,8
25,"74HC4053D,653",1,5,41.00,8
26,BSM50GX120DN2BOSA1,2,6,28540.00,9
27,BSM75GB120DN2HOSA1,2,6,20180.00,9
28,FF100R12RT4HOSA1,2,6,11700.00,9
29,FF150R12RT4HOSA1,2,6,18800.00,9
30,FF300R12KE3HOSA1,2,6,16700.00,9
31,5П103TT-80-12,2,7,5950.00,11
32,MCC95-16IO1B,2,7,8100.00,12
33,MDD95-16N1B,2,7,7810.00,12
34,SKCH28/12,2,7,6410.00,10
35,SKKD162/12,2,7,8110.00,10
36,RA60H1317M1A-501,2,8,9850.00,13
37,M68776-01A,2,8,970.00,13
38,RA55H4452M-101,2,8,6300.00,13
39,M67755H-01,2,8,6390.00,13
40,M68706,2,8,5270.00,13
41,SKAI100WE,2,9,12700.00,10
42,(04020-00100600),2,9,480.00,14
43,(04020-00790200),2,9,610.00,14
44,(04G5502560U0),2,9,310.00,14
45,FSBB15CH60C,2,10,6890.00,1
46,FSBB30CH60C,2,10,6030.00,1
47,IGCM04G60HAXKMA1,2,10,2340.00,9
48,IKCM15H60GAXKMA2,2,10,2520.00,9
49,STGIPN3H60,2,10,2090.00,15
50,DEBE33F472ZA3B,3,11,90.00,16
51,JYC3D101KBY,3,11,13.00,17
52,JYC3D102MBE,3,11,13.00,17
53,JYC3D103MCF,3,11,20.00,17
54,JYC3D152MBE,3,11,13.00,17
55,Конденсатор керамический дисковый 6.0 пФ х 50В,3,12,8.00,18
56,Конденсатор керамический дисковый 10 пФ х 50В,3,12,9.00,18
57,Конденсатор керамический дисковый 12 пФ х 50В,3,12,9.00,18
58,Конденсатор керамический дисковый 15 пФ х 50В,3,12,9.00,18
59,Конденсатор керамический дисковый 2.7 пФ х 50В,3,12,6.00,18
60,GRM2165C1H1R1C,3,13,8.00,16
61,GRM2165C1H1R2C,3,13,8.00,16
62,GRM2165C1H1R3C,3,13,8.00,16
63,GRM2165C1H1R5C,3,13,8.00,16
64,GRM2165C1H1R5C,3,13,8.00,16
65,К10-17А,3,14,49.00,34
66,К10-17Б,3,14,6.00,18
67,КМ5Б,3,14,49.00,34
68,МБГО-1,3,15,150.00,14
69,EEE-1HA101UP,3,15,290.00,19
70,PME271Y422MR30,3,15,120.00,20
71,ОМБГ-1,3,15,240.00,14
72,МБМ,3,15,54.00,14
73,CF-100 (С1-4),4,16,8.00,21
74,CF-50 (С1-4),4,16,8.00,21
75,CF-25 (С1-4),4,16,6.00,21
76,MF-25 (С2-23),4,16,6.00,21
77,KNP-200,4,16,21.00,21
78,SQP 3,4,17,21.00,21
79,SQP 5,4,17,22.00,21
80,SQP 10,4,17,28.00,21
81,SQP 15,4,17,40.00,21
82,SQP 20,4,17,58.00,21
83,"0.062Вт 0402 1 Ом, 1%",4,18,5.00,18
84,"0.062Вт 0402 1 Ом, 5%",4,18,5.00,18
85,"0.062Вт 0402 1.1 Ом, 1%",4,18,5.00,18
86,"0.062Вт 0402 1.1 Ом, 5%",4,18,5.00,18
87,"0.062Вт 0402 1.2 Ом, 1%",4,18,5.00,18
88,CT94-2-10UH,5,19,480.00,22
89,EC24-100K,5,19,13.00,18
90,EC24-101K,5,19,28.00,18
91,EC24-102K,5,19,20.00,18
92,EC24-120K,5,19,14.00,18
93,CM322522-100KL,5,20,28.00,23
94,CM322522-101KL,5,20,28.00,23
95,CM322522-2R2KL,5,20,25.00,23
96,CM322522-330KL,5,20,34.00,23
97,CM322522-470KL,5,20,23.00,23
98,BLA31BD601SN4D,5,21,44.00,16
99,BLM18EG221SN1D,5,21,11.00,16
100,BLM18HG102SN1D,5,21,11.00,16
101,BLM18PG121SN1D,5,21,20.00,16
102,BLM18PG471SN1D,5,21,8.00,16
103,2038-15-SM-RPLF,6,22,460.00,23
104,B88069-X 180-S102,6,22,150.00,24
105,B88069-X 410-T502,6,22,490.00,24
106,B88069-X 720-S102,6,22,220.00,24
107,B88069-X 780 (EC600X),6,22,190.00,24
108,B72205-S 271-K101 (S05K275),6,23,23.00,24
109,B72207-S 231-K101 (S07K230),6,23,10.00,24
110,B72207-S 271-K101 (S07K275),6,23,24.00,24
111,B72207-S 300-K101 (S07K30),6,23,16.00,24
112,B72207-S 301-K101 (S07K300),6,23,20.00,24
113,179021,7,24,67.00,25
114,189020,7,24,71.00,25
115,C630 (ABE),7,24,26.00,18
116,GTF4015,7,24,30.00,18
117,АUB,7,24,49.00,18
118,179020,7,25,76.00,25
119,179120,7,25,85.00,25
120,189000,7,25,330.00,25
121,AGU,7,25,67.00,18
122,H520 (ZH214),7,25,14.00,18
123,1N4728A,8,26,4.00,18
124,1N4729A,8,26,4.00,18
125,1N4730A,8,26,4.00,18
126,1N4731A,8,26,4.00,18
127,1N4732A,8,26,4.00,18
128,10BQ100,8,27,14.00,26
129,10MQ030NPBF,8,27,10.00,27
130,10MQ040NPBF,8,27,10.00,27
131,10MQ060NPBF,8,27,10.00,27
132,10MQ100N,8,27,12.00,26
133,SKR130/12,8,28,5630.00,10
134,VS-40HF160,8,28,1960.00,28
135,Д112-10-12,8,28,450.00,29
136,Д112-10Х-12,8,28,450.00,29
137,Д112-16-12,8,28,450.00,29
138,КТ209А,9,29,16.00,30
139,КТ209Б,9,29,16.00,30
140,КТ209В,9,29,16.00,30
141,КТ209Г,9,29,20.00,30
142,КТ209Ж,9,29,16.00,30
143,AUIRF1010ZL,9,30,200.00,31
144,AUIRF1324,9,30,350.00,31
145,AUIRL1404S,9,30,930.00,31
146,AUIRL3705N,9,30,270.00,31
147,IRF5810TRPBF,9,30,27.00,31
148,2N6509G,10,31,220.00,12
149,5P4M,10,31,360.00,32
150,BCR8PM,10,31,700.00,13
151,BT149D,10,31,33.00,33
152,BT149G,10,31,25.00,33
153,2N6075AG,10,32,90.00,12
154,ACS102-6T1-TR,10,32,77.00,15
155,ACS108-6SA-TR,10,32,120.00,15
156,ACS108-6SN-TR,10,32,210.00,15
157,ACS110-7SN,10,32,98.00,15
158,2.000 МГц (TTL),11,33,300.00,18
159,4.000 МГц (HCMOS/TTL),11,33,420.00,18
160,4.194 МГц (HCMOS/TTL),11,33,290.00,18
161,4.9152 МГц (HCMOS/TTL),11,33,270.00,18
162,5.000 МГц (HCMOS/TTL),11,33,370.00,18
163,1.8432 МГц HC-49U,11,34,66.00,18
164,2.000 МГц HC-49U,11,34,66.00,18
165,2.4576 МГц HC-49U,11,34,97.00,18
166,3.000 МГц HC-49U,11,34,89.00,18
167,3.579545 МГц HC-49SM,11,34,37.00,18
