microchips_id,component_name,component_id,production_id,architecture_id,data_interface_id,framework_id
1,AD7190BRUZ-REEL,1,1,1,1,1
2,AD7495ARZ,1,1,4,1,2
3,AD7495BRZ,1,1,4,3,2
4,AD7680ARMZ,1,1,4,3,3
5,AD7680BRMZ,1,1,4,1,3
6,AD7683BRMZ,1,1,4,1,3
7,AD7685BRMZ,1,1,4,3,4
8,AD7705BNZ,1,1,1,1,5
9,AD7705BRZ-REEL,1,1,1,3,6
10,AD7706BNZ,1,1,1,3,5
11,AD1933WBSTZ,2,1,1,2,7
12,AD420ANZ-32,2,1,1,3,8
13,AD420ARZ-32-REEL,2,1,1,3,9
14,AD5300BRMZ,2,1,2,1,3
15,AD5302ARMZ,2,1,2,1,4
16,AD5320BRMZ,2,1,2,3,3
17,AD5322BRMZ,2,1,2,1,4
18,AD5328BRUZ,2,1,2,3,10
19,AD5621BKSZ-500RL7,2,1,2,1,11
20,AD7302BNZ,2,1,3,4,12
