production_id,production,country_id
1,ON Semiconductor,1
2,Fairchild,1
3,Analog Devices,1
4,Alpha & Omega,1
5,Intersil,1
6,Mini-Circuits,1
7,Texas Instruments,1
8,Nexperia,2
9,Infineon,3
10,Semikron,3
11,Протон-Импульс,4
12,Littelfuse,1
13,Mitsubishi,5
14,No trademark,6
15,ST Microelectronics,7
16,Murata,5
17,JB Capacitors,8
18,Китай,8
19,Panasonic,5
20,Kemet,1
21,Тайвань,9
22,ChipDipDac,4
23,Bourns,1
24,EPCOS,3
25,Siba,10
26,Hottech,8
27,SUNMATE,8
28,Vishay,1
29,СИЛОВЫЕ ДИОДЫ,4
30,Интеграл,4
31,IR,1
32,NEC,5
33,WeEn,5
34,Монолит,4
