resistor_id,component_name,component_id,production_id,type_id,nominal_resistance,unit_id,accuracy,rated_power
1,CF-100 (С1-4),3,2,2,330.0,3,5,1.00
2,CF-25 (С1-4),3,2,2,3.0,3,5,0.25
3,CF-50 (С1-4),3,2,2,68.0,3,5,0.50
4,KNP-100,3,2,4,2.2,3,5,1.00
5,KNP-200,3,2,4,0.1,3,5,2.00
6,MF-25 (С2-23),3,2,3,82.0,5,1,0.25
7,MO-100 (С2-23),3,2,3,3.3,4,5,1.00
8,MO-200 (С2-23),3,2,3,3.3,3,5,2.00
9,AH-100,4,2,1,0.1,3,5,100.00
10,AH-25,4,2,1,100.0,3,5,25.00
11,AH-50,4,2,1,0.1,3,5,50.00
12,KNP-500,4,2,4,0.1,3,5,5.00
13,SQP 3,4,2,5,47.0,3,5,3.00
14,SQP 10,4,2,5,47.0,3,5,10.00
15,SQP 20,4,2,5,0.1,3,5,20.00
16,SQP 5,4,2,5,47.0,5,5,5.00
17,SQP 15,4,2,5,20.0,3,5,15.00
