storage_id,component_id,amount
1,1,16
2,2,43
3,3,63
4,4,19
5,5,4
6,6,65
7,7,99
8,8,23
9,9,2
10,10,34
11,11,0
12,12,8
13,13,1
14,14,86
15,15,75
16,16,43
17,17,154
18,18,32
19,19,42
20,20,22
21,21,73
22,22,91
23,23,37
24,24,52
25,25,7
26,26,39
27,27,84
28,28,108
29,29,123
30,30,42
31,31,17
32,32,88
33,33,3
34,34,26
35,35,87
36,36,72
37,37,9
38,38,4
39,39,0
40,40,2
41,41,42
42,42,38
43,43,77
44,44,109
45,45,26
46,46,6
47,47,2
48,48,96
49,49,55
50,50,36
51,51,58
52,52,93
53,53,35
54,54,51
55,55,60
56,56,116
57,57,5
58,58,10
59,59,44
60,60,71
61,61,9
62,62,104
63,63,117
64,64,0
65,65,1
66,66,532
67,67,32
68,68,18
69,69,49
70,70,36
71,71,75
72,72,38
73,73,29
74,74,98
75,75,99
76,76,64
77,77,186
78,78,17
79,79,42
80,80,17
81,81,97
82,82,89
83,83,72
84,84,61
85,85,58
86,86,26
87,87,28
88,88,100
89,89,0
90,90,4
91,91,96
92,92,94
93,93,153
94,94,228
95,95,0
96,96,90
97,97,52
98,98,4
99,99,8
100,100,1
101,101,9
102,102,2
103,103,94
104,104,43
105,105,31
106,106,37
107,107,74
108,108,49
109,109,43
110,110,1
111,111,105
112,112,3
113,113,6
114,114,2
115,115,14
116,116,55
117,117,118
118,118,83
119,119,43
120,120,30
121,121,28
122,122,17
123,123,26
124,124,1
125,125,12
126,126,13
127,127,28
128,128,39
129,129,74
130,130,98
131,131,54
132,132,4
133,133,41
134,134,16
135,135,131
136,136,15
137,137,25
138,138,35
139,139,84
140,140,57
141,141,72
142,142,38
143,143,86
144,144,83
145,145,48
146,146,754
147,147,0
148,148,85
149,149,46
150,150,63
151,151,26
152,152,1
153,153,34
154,154,53
155,155,46
156,156,987
157,157,0
158,158,0
159,159,0
160,160,73
161,161,253
162,162,251
163,163,362
164,164,3
165,165,37
166,166,69
167,167,73
